handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,brand
product_0,Product,DE PLEIN Oversize Unisex Grace Siyah Baskılı % 100 Pamuk T-shirt DPLN121,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün DE PLEIN tarafından gönderilecektir.
Üretim Yeri: Türkiye Kalıp: Oversize Kalıp Kumaş :%100 pamuk Unisex Ürün Ölçüleri:
S Beden (Göğüs 56cm x Boy 71cm)
M Beden (Göğüs 58cm x Boy 73cm)
L Beden (Göğüs 60cm x Boy 75cm)
XL Beden (Göğüs 62cm x Boy 77cm)
XXL Beden (Göğüs 64cm x Boy 79cm)",https://cdn.dsmcdn.com/mnresize/128/192/ty262/product/media/images/20211203/12/3519277/328426581/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/ty182/product/media/images/20210920/15/134036942/246837095/0/0_org_zoom.jpg,2/ All Clothes,,,199.9,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,S;M;L;XL;XXL,Color,COLOR,BEYAZ;SİYAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1,Product,TRENDYOLMİLLA Siyah Kolsuz Basic Örme T-Shirt TWOSS20TS0021,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün Trendyol tarafından gönderilecektir.
Modelin Ölçüleri: Boy: 1.77, Göğüs: 85 Bel: 61, Kalça: 90
Mankenin üzerindeki ürün S/36 bedendir.
%100 Pamuk, Örme Kumaş
Basic Kalıp
Ürünlerimiz TRENDYOL etiketi ile gönderilecektir.
Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.",https://cdn.dsmcdn.com/mnresize/128/192/ty64/product/media/images/20210127/18/57764570/74025590/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty121/product/media/images/20210531/12/93880784/176410256/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty120/product/media/images/20210531/12/93880784/176411276/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty60/product/media/images/20210126/18/57441999/66314485/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty61/product/media/images/20210125/16/57029913/63346586/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty122/product/media/images/20210531/12/93880784/176411036/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/ty61/product/media/images/20210125/15/57029809/63346581/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty84/product/media/images/20210312/13/70898369/75736969/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty122/product/media/images/20210531/12/93880784/176411673/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty133/product/media/images/20210617/9/101737513/181460759/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty58/product/media/images/20210119/18/55277733/128875008/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty49/product/media/images/20210323/19/74754453/66556867/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty60/product/media/images/20210126/18/57441998/63346589/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty63/product/media/images/20210128/15/58018269/129502094/2/2_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty66/product/media/images/20210203/17/59706674/133165066/1/1_org_zoom.jpg,2/ All Clothes,,,79.99,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,XS;S;M;L;XL;XXL,Color,COLOR,Lila;Açık Yeşil;Pembe;Lacivert;Haki;Taş;Siyah;Antrasit;Sarı;Yeşil;Mavi;Somon;Beyaz;Tarçın;Gri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2,Product,Seher Yıldızı Kadın Siyah Ip Askılı Likralı Kancalı Çıtçıtlı Body sehersiyahbayanatlet01,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün enmodaiçgiyim tarafından gönderilecektir.
Ultra yumuşak dokunuş ve nefes alan kumaş
Renk :Siyah
%100 orijinal ve yüksek teknoloji ile üretilmiş bir üründür
Malzeme ıçeriği: %96 pamuklu / Cotton / Likra Yıkama talimatlari: Çamaşır makinesinde yıkama - Soğuk (30° maks.)
ürün bir ( 1 ) adet gönderilecektir",https://cdn.dsmcdn.com/mnresize/128/192/ty212/product/media/images/20211027/9/157428300/150730797/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/ty153/product/media/images/20210806/15/116328198/97286814/1/1_org_zoom.jpg,2/ All Clothes,,,24.95,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,S;M;L;XL,Color,COLOR,BEYAZ;siyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3,Product,3 Balenli ve Manyetik Dik Duruş Korsesi Kamburluk Önleyici Korse Yeni Tasarım 3DPS0051XDPK04,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün 3dproductsale tarafından gönderilecektir.
3 dik duruş korsesi manyetik ve balenli kamburluk önleyici korse yeni tasarım
1 adet ürün gönderilecektir. (ilan başındaki ""3"" mağazamıza ait patentli markamızdır. Anlayışınız için teşekkür ederiz.)
Balenli ve manyetik dik duruş korsesi kamburluk önleyici korse yeni tasarım
4 adet plastik balen mevcuttur. 2 adet bel bölgesinde ve 2 adet sırt bölgesindedir.
9 adet mıknatıs daire mevcuttur. 4 adet bel bölgesinde ve 5 adet sırt bölgesindedir.",https://cdn.dsmcdn.com/mnresize/128/192/ty184/product/media/images/20210929/0/137332424/240120960/1/1_org_zoom.jpg,2/ All Clothes,,,94.5,,FALSE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4,Product,andela Dik Duruş Korsesi Kifoz Kamburluk Önleyici Korse Erkek Bayan Sırt Omuz Dik Durmak Yürümek Için Korse ART-163,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün ARTELLAHOME tarafından gönderilecektir.
Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.
Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.
İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.
Bir ürün birden fazla satıcı tarafından satılabilir. Ürün liste ve detay sayfalarında tüketici memnuniyeti göz önüne alınarak fiyat avantajı, teslimat hızı, iade oranları ve genel hizmet kalitesine göre belirlenmiş puanı en yüksek satıcı görünür satıcı olur. Diğer satıcılar, ürün detay sayfasında alternatif olarak listelenirler.",https://cdn.dsmcdn.com/mnresize/128/192/ty142/product/media/images/20210706/16/107595644/198521876/1/1_org_zoom.jpg,2/ All Clothes,,,109.9,,FALSE,PERCENT,0,InStock,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0,Product,Chiccy Kadın Ekru Dev Ottoman Desenli Tığ İşi Görünümlü Bluz M10010200BL94850,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün MarkaPlatform tarafından gönderilecektir.
%80 Pamuk %20 Polyester. 30C Elde Veya Makinada Yıkayınız. Kuru Temizleme Yapılmaz. Ürün Boyu Omuzdan/Belden: 52 Cm. Göğüs/Basen: 47 Cm. Modelin Ölçüleri: Kilo : 52, Boy: 1.76, Göğüs: 87, Bel: 62, Kalça: 94Cm. Beden: S/36/1. Ürün : S/36/1.
Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.
Kampanya fiyatından satılmak üzere 10 adetten fazla stok sunulmuştur.",https://cdn.dsmcdn.com/mnresize/128/192/ty183/product/media/images/20210928/8/136942403/250441835/1/1_org_zoom.jpeg,2/ All Clothes,,,289.3,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,S;M;L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_1,Product,Trend Alaçatı Stili Kadın Hardal Prenses Kol Yarım Balıkçı Kaşkorse Bluz ALC-X5042,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün Trendyol tarafından gönderilecektir.
%100 Pamuk
Balıkçı Yaka Uzun Prenses Kol Rahat Kesim Crop Klasik Bluz
55 Cm
Numune Bedeni : S/36/1
Modelin Ölçüleri: Boy: 1.73, Göğüs: 84, Bel: 60, Kalça: 90, Beden: S/36/1
Stüdyo çekimlerinde renkler ışık farklılığından dolayı değişiklik gösterebilir",https://cdn.dsmcdn.com/mnresize/128/192/ty15/product/media/images/20201016/15/16477538/94040447/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty25/product/media/images/20201120/22/29270165/108998775/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty32/product/media/images/20201212/12/37794204/118706065/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty67/product/media/images/20210205/17/60241834/138047565/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty177/product/media/images/20210919/13/133085738/245802226/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty248/product/media/images/20211116/23/181603191/316500718/2/2_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty12/product/media/images/20201016/15/16477538/94040454/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty264/product/media/images/20211209/18/7878523/287613352/2/2_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty177/product/media/images/20210919/13/133085738/245802230/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty223/product/media/images/20211104/1/165301309/115989300/2/2_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty2/product/media/images/20201016/15/16477538/94040441/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty247/product/media/images/20211116/23/181603191/316500734/2/2_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty198/product/media/images/20211015/16/148980983/264704409/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty248/product/media/images/20211116/23/181603191/316500697/2/2_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty185/product/media/images/20210926/14/136387498/249622235/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty13/product/media/images/20201016/15/16477538/94040444/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty79/product/media/images/20210228/16/67548339/146998809/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty200/product/media/images/20211015/16/148980983/264704401/1/1_org_zoom.jpg,2/ All Clothes,,,50.0,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,S;M;L,Color,COLOR,LİLA;ÇAĞLA YEŞİLİ;PEMBE;Saks;Lacivert;LEOPAR;EKRU;HAKİ;Kırmızı;BORDO;SİYAH;ANTRASİT;TOZ PEMBE;SARI;AÇIK PEMBE;GRİMELANJ;BEBE MAVİ;TARÇIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2,Product,canstreetwear Tek Omuz Crop Bluz Bej CNSCRP001,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün Can Streetwear tarafından gönderilecektir.
Bu ürün canstreetwear tarafından gönderilecektir.
Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.
Kampanya fiyatından satılmak üzere 5 adetten az stok bulunmaktadır.
İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.",https://cdn.dsmcdn.com/mnresize/128/192/ty200/product/media/images/20211015/20/149332549/265084076/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/ty198/product/media/images/20211015/20/149332837/265084351/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty198/product/media/images/20211015/20/149342414/265094062/1/1_org_zoom.jpg,2/ All Clothes,,,149.9,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,S;M;L,Color,COLOR,Lila;Bej;Gri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3,Product,Modarengi Kadın Bej Yumuşak Dokulu Boyun Fırfırlı Bluz MDRBLZTST05,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün Modarengi tarafından gönderilecektir.
Mankenin üzerindeki beden S '36' dır.
Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.
Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.
İncelemiş olduğunuz ürünün satış fiyatını satıcı belirlemektedir.",https://cdn.dsmcdn.com/ty177/product/media/images/20210919/15/133133589/245859935/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty178/product/media/images/20210919/15/133133198/245859670/1/1_org_zoom.jpg;https://cdn.dsmcdn.com/mnresize/128/192/ty177/product/media/images/20210919/15/133134068/245860427/1/1_org_zoom.jpg,2/ All Clothes,,,69.9,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,XS;S;M;L,Color,COLOR,Bej;Haki;Gri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_4,Product,khar Kadın Siyah Beyaz Balıkçı Yaka Kolsuz 2'li Paket Örme Bluz Gt00012 TYC00249653381,"15 gün içinde ücretsiz iade. Detaylı bilgi için tıklayın.

Bu ürün khar tarafından gönderilecektir.
%95 pamuk %5 likra
Balıkçı yaka, kolsuz, fitilli, likralı örme bluz takımı. Stüdyo çekimlerinde renkler ışık farklılığından dolayı değişiklik gösterebilir.
Boy: 1.76 cm, göğüs: 84 cm bel: 61 cm kalça: 89 cm.
Bu üründen en fazla 10 adet sipariş verilebilir. 10 adetin üzerindeki siparişleri Trendyol iptal etme hakkını saklı tutar.",https://cdn.dsmcdn.com/mnresize/128/192/ty200/product/media/images/20211014/15/147779755/263411622/1/1_org_zoom.jpg,2/ All Clothes,,,69.99,,FALSE,PERCENT,0,InStock,0,Size,DROP_DOWN,S/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
